grouping,year,value
origin_hispanic_latino,2017,897
origin_hispanic_latino,2016,808
origin_hispanic_latino,2015,825
origin_hispanic_latino,2014,739
origin_hispanic_latino,2013,497
origin_hispanic_latino,2012,488
origin_hispanic_latino,2011,624
origin_hispanic_latino,2010,803
origin_hispanic_latino,2009,707
origin_hispanic_latino,2008,669
origin_hispanic_latino,2007,415
origin_hispanic_latino,2006,633
origin_hispanic_latino,2005,558
origin_hispanic_latino,2004,438
origin_hispanic_latino,2003,477
origin_hispanic_latino,2002,488
origin_hispanic_latino,2001,428
origin_hispanic_latino,2000,363
