series id,year,period name,value
CXUEDUCATNLB1005M,2017,Annual,955
CXUEDUCATNLB1005M,2016,Annual,932
CXUEDUCATNLB1005M,2015,Annual,732
CXUEDUCATNLB1005M,2014,Annual,771
CXUEDUCATNLB1005M,2013,Annual,694
CXUEDUCATNLB1005M,2012,Annual,631
CXUEDUCATNLB1005M,2011,Annual,485
CXUEDUCATNLB1005M,2010,Annual,426
CXUEDUCATNLB1005M,2009,Annual,599
CXUEDUCATNLB1005M,2008,Annual,516
CXUEDUCATNLB1005M,2007,Annual,701
CXUEDUCATNLB1005M,2006,Annual,499
CXUEDUCATNLB1005M,2005,Annual,491
CXUEDUCATNLB1005M,2004,Annual,573
CXUEDUCATNLB1005M,2003,Annual,425
