grouping,group,year,value
region_northeast,8,2017,2341
region_northeast,8,2016,1949
region_northeast,8,2015,2021
region_northeast,8,2014,2129
region_northeast,8,2013,1870
region_northeast,8,2012,1789
region_northeast,8,2011,1620
region_northeast,8,2010,1618
region_northeast,8,2009,1710
region_northeast,8,2008,1585
region_northeast,8,2007,1163
region_northeast,8,2006,1080
region_northeast,8,2005,1387
region_northeast,8,2004,1152
region_northeast,8,2003,1040
region_northeast,8,2002,1062
region_northeast,8,2001,729
region_northeast,8,2000,823
