year,under_age_25,between_25_and_34,between_35_and_44,between_45_and_54,between_55_and_64,over_65,between_65_and_74,over_75
2003,1886,1021,1050,2426,1118,236,245,223
2004,2253,1049,818,1879,866,247,262,229
2005,1906,839,963,2094,917,193,240,140
2006,1910,808,935,2055,1003,162,181,141
2007,1691,759,953,2012,867,272,345,192
2008,1787,604,819,1687,929,292,245,341
2009,1259,710,857,1736,662,219,274,162
2010,1359,779,931,1769,733,211,256,165
2011,1821,726,786,1567,730,274,352,198
2012,1490,684,694,1377,743,129,176,81
